,Actual,Prediction,Difference
0,12.2,11.35,0.8488285064697259
1,12.16,11.4,0.7630712127685548
2,12.12,11.44,0.6829796981811516
3,12.08,11.47,0.6137514877319337
4,12.12,11.48,0.6384183120727531
5,12.12,11.47,0.6460477066040031
6,12.16,11.44,0.715121421813965
7,12.2,11.4,0.800085258483886
8,12.2,11.35,0.8543617248535149
9,12.24,11.29,0.9520218276977541
10,12.28,11.23,1.048608093261718
11,12.32,11.18,1.1409543228149417
12,12.4,11.13,1.2672389984130863
13,12.44,11.09,1.346682968139648
14,12.48,11.06,1.4150938796997075
15,12.48,11.05,1.4289774703979496
16,12.48,11.05,1.426787834167481
17,12.52,11.07,1.4490504455566402
18,12.56,11.1,1.4577890014648442
19,12.56,11.14,1.4159312820434575
20,12.56,11.19,1.3667407608032232
21,12.52,11.25,1.2733893585205074
22,12.4,11.31,1.0944589614868168
23,12.36,11.37,0.9882520294189447
24,12.36,11.45,0.9142974472045893
25,12.36,11.53,0.833357200622558
26,12.36,11.61,0.7473195648193354
27,12.36,11.7,0.6585925674438471
28,12.36,11.77,0.5907367324829096
29,12.32,11.82,0.5007117462158206
30,12.32,11.86,0.45788700103759794
31,12.28,11.91,0.3677399444580072
32,12.28,11.98,0.29928520202636655
33,12.36,12.07,0.2871621704101557
34,12.36,12.19,0.17109905242919865
35,12.36,12.32,0.0431464767456049
36,12.36,12.44,-0.08303131103515682
37,12.36,12.56,-0.19649948120117244
38,12.36,12.65,-0.29038871765136776
39,12.36,12.72,-0.3617264175415045
40,12.36,12.77,-0.40633739471435604
41,12.36,12.79,-0.42664588928222713
42,12.36,12.79,-0.42762626647949276
43,12.36,12.77,-0.4148937606811529
44,12.36,12.75,-0.3936048889160162
45,12.36,12.73,-0.3679901504516607
46,12.4,12.7,-0.3012119293212887
47,12.48,12.68,-0.19545700073242145
48,12.48,12.65,-0.17206718444824176
49,12.48,12.63,-0.15174343109130817
50,12.44,12.61,-0.1747146224975591
51,12.44,12.6,-0.1608901596069341
52,12.44,12.59,-0.14996295928955128
53,12.44,12.58,-0.14157730102539112
54,12.48,12.58,-0.09531452178955035
55,12.52,12.57,-0.050762634277344176
56,12.56,12.57,-0.007544937133788565
57,12.56,12.57,-0.005340042114257315
58,12.56,12.56,-0.0038723373413080964
59,12.56,12.56,-0.0029262924194330964
60,12.56,12.56,-0.002329292297362784
61,12.52,12.56,-0.04195545196533246
62,12.48,12.56,-0.08173801422119098
63,12.44,12.56,-0.12158256530761768
64,12.32,12.56,-0.23722713470458956
65,12.32,12.54,-0.22473114013671847
66,12.32,12.52,-0.20175140380859347
67,12.32,12.49,-0.1680180358886716
68,12.32,12.44,-0.1247154998779294
69,12.32,12.39,-0.0739800262451169
70,12.32,12.34,-0.018356018066405966
71,12.32,12.26,0.05628044128417997
72,12.32,12.16,0.16327125549316435
73,12.36,12.04,0.3246892547607416
74,12.4,11.92,0.4769548416137699
75,12.44,11.84,0.6010403060913081
76,12.44,11.79,0.6458544158935542
77,12.44,11.79,0.6479715728759761
78,12.44,11.83,0.6098865890502925
79,12.44,11.9,0.5379051589965815
80,12.44,12.0,0.44021839141845653
81,12.48,12.11,0.3654293823242192
82,12.52,12.23,0.2858128738403316
83,12.56,12.35,0.21212726593017628
84,12.6,12.45,0.1519638061523434
85,12.64,12.53,0.10951293945312557
86,12.72,12.59,0.13455745697021548
87,12.6,12.61,-0.014206314086914418
88,12.72,12.62,0.10177776336669986
89,12.92,12.61,0.3117474746704101
90,13.08,12.6,0.4838724899291993
91,13.24,12.59,0.6493408584594729
92,13.4,12.6,0.8029712677001957
93,13.56,12.62,0.9429298019409185
94,13.64,12.65,0.9898563766479498
95,13.72,12.69,1.0301549148559577
96,13.8,12.73,1.0665615081787116
97,13.88,12.77,1.1089495468139656
98,13.92,12.79,1.1262273025512695
99,13.92,12.8,1.1237487030029296
100,13.96,12.78,1.1830386734008798
101,14.0,12.74,1.2626523971557617
102,14.04,12.68,1.3590975189208976
103,14.08,12.61,1.4679375457763673
104,14.12,12.54,1.5803557586669914
105,14.16,12.47,1.6881314849853517
106,14.16,12.41,1.7454196548461915
107,14.16,12.37,1.7932798004150392
108,14.16,12.33,1.834827575683594
109,14.16,12.28,1.8815166091918947
110,14.16,12.22,1.9350701904296876
111,14.16,12.17,1.9932653045654298
112,14.36,12.11,2.252665863037109
113,14.32,12.04,2.2783768844604495
114,14.28,11.97,2.307472496032714
115,14.2,11.91,2.290831756591796
116,14.12,11.86,2.260018463134765
117,14.04,11.83,2.209734001159667
118,13.96,11.82,2.1381396865844735
119,13.96,11.83,2.126241645812989
120,13.96,11.86,2.096951446533204
121,13.96,11.91,2.054189643859864
122,13.96,11.96,2.0021504974365243
123,13.92,12.02,1.9047917556762695
124,13.92,12.07,1.8455094528198241
125,13.88,12.13,1.7470606613159188
126,13.84,12.19,1.6514614486694335
127,13.8,12.24,1.5600660324096687
128,13.76,12.29,1.4736602401733396
129,13.72,12.33,1.3925769042968756
130,13.52,12.36,1.156799812316894
131,13.32,12.39,0.9259827804565433
132,13.36,12.42,0.9398263549804682
133,13.4,12.44,0.9579757690429691
134,13.44,12.46,0.9797415161132808
135,13.48,12.48,1.0045990753173832
136,13.52,12.49,1.0320706558227535
137,13.56,12.5,1.0617127990722661
138,13.6,12.51,1.0931421279907223
139,13.64,12.51,1.1260296249389654
140,13.68,12.52,1.1600958633422849
141,13.68,12.52,1.1551138687133786
142,13.68,12.53,1.1508786010742185
143,13.68,12.52,1.1599089431762692
144,13.68,12.5,1.177097015380859
145,13.6,12.48,1.1174388885498043
146,13.6,12.46,1.1368289947509762
147,13.56,12.45,1.1126924133300786
148,13.64,12.44,1.203573837280274
149,13.72,12.43,1.2891995620727545
150,13.8,12.43,1.369883346557618
151,13.88,12.43,1.4464052963256844
152,13.96,12.44,1.5197314834594735
153,14.04,12.45,1.5866136932373038
154,14.08,12.48,1.6039696502685548
155,14.32,12.51,1.8102849197387698
156,14.48,12.55,1.9258675384521489
157,14.4,12.61,1.7879966735839847
158,14.32,12.68,1.6394341659545901
159,14.24,12.76,1.480384101867676
160,14.16,12.85,1.311418685913086
161,14.08,12.94,1.1426926422119141
162,14.0,13.02,0.9846687316894531
163,13.96,13.08,0.8762292480468759
164,13.92,13.15,0.7730635833740234
165,13.88,13.21,0.6709841537475594
166,13.84,13.26,0.5758627319335936
167,13.8,13.31,0.49458293914794993
168,13.68,13.34,0.3433157730102536
169,13.64,13.35,0.2885643386840826
170,13.68,13.35,0.33268802642822237
171,13.64,13.33,0.31495346069335994
172,13.56,13.29,0.2684693908691411
173,13.48,13.26,0.22130153656005902
174,13.44,13.24,0.20338577270507763
175,13.4,13.23,0.16839065551757848
176,13.36,13.24,0.11822448730468693
177,13.32,13.27,0.05339939117431669
178,13.28,13.3,-0.020700187683106108
179,13.28,13.33,-0.0495383453369147
180,13.24,13.35,-0.10877395629882791
181,13.28,13.36,-0.07860347747802798
182,13.32,13.35,-0.0325981903076169
183,13.36,13.33,0.03462635040283146
184,13.4,13.27,0.12521877288818395
185,13.44,13.2,0.23804515838622997
186,13.48,13.11,0.3737511444091801
187,13.52,12.98,0.5355019760131832
188,13.52,12.84,0.6798634719848629
189,13.52,12.68,0.8361563873291011
190,13.52,12.53,0.9929957580566402
191,13.56,12.37,1.18523365020752
192,13.6,12.23,1.3704601287841793
193,13.72,12.09,1.627478332519532
194,13.76,11.96,1.795595893859863
195,13.8,11.84,1.9585016250610359
196,13.84,11.72,2.1198128128051756
197,13.96,11.6,2.3616180038452157
198,14.0,11.48,2.5243043899536133
199,14.0,11.35,2.6469507217407227
200,14.0,11.23,2.767862319946289
201,14.0,11.11,2.885064125061035
202,13.88,11.0,2.8807810592651375
203,13.92,10.88,3.041371269226074
204,13.92,10.76,3.163847846984863
205,13.92,10.64,3.2822093200683593
206,13.92,10.53,3.386926574707031
207,13.92,10.45,3.470260543823242
208,13.92,10.39,3.5280265045166015
209,13.92,10.36,3.5595578384399413
210,13.92,10.35,3.5668963623046874
211,13.92,10.37,3.5496749114990234
212,13.96,10.41,3.5485095596313485
213,14.0,10.47,3.525836944580078
214,14.04,10.55,3.485582389831542
215,14.08,10.64,3.4367399978637696
216,14.16,10.74,3.424145851135254
217,14.2,10.83,3.3666431427001946
218,14.28,10.94,3.338123588562011
219,14.36,11.06,3.3024533843994135
220,14.36,11.17,3.186288223266601
221,14.36,11.28,3.075967178344726
222,14.44,11.38,3.056289138793945
223,14.52,11.47,3.054278869628906
224,14.6,11.53,3.0748620986938473
225,14.6,11.56,3.03577766418457
226,14.6,11.58,3.0163341522216793
227,14.8,11.58,3.2195690155029304
228,14.72,11.54,3.175591201782227
229,14.72,11.49,3.234827728271485
230,14.72,11.41,3.307316513061524
231,14.76,11.34,3.4159162139892576
232,14.84,11.3,3.5419195556640624
233,14.92,11.29,3.63240234375
234,15.0,11.32,3.6818552017211914
235,15.04,11.38,3.6554956817626945
236,15.12,11.48,3.642843360900878
237,15.12,11.58,3.5385190200805656
238,15.04,11.69,3.3515081787109366
239,15.04,11.79,3.247432746887206
240,15.04,11.89,3.145539321899413
241,14.92,11.99,2.932104034423828
242,14.84,12.07,2.769391860961914
243,14.72,12.14,2.5777919006347663
244,14.6,12.2,2.4008470535278317
245,14.52,12.23,2.2855925750732418
246,14.4,12.25,2.152721786499024
247,14.24,12.25,1.9911997222900393
248,14.12,12.24,1.881610031127929
249,14.0,12.21,1.7909412384033203
250,13.92,12.16,1.7606457901000976
251,13.84,12.1,1.7445162200927733
252,13.68,12.03,1.654637985229492
253,13.64,11.96,1.683946266174317
254,13.52,11.89,1.6314645004272457
255,13.4,11.82,1.5821641921997074
256,13.24,11.74,1.4967405700683596
257,13.04,11.65,1.386228599548339
258,12.84,11.54,1.300142135620117
259,12.64,11.4,1.2387472534179693
260,12.48,11.24,1.2413410949707036
261,12.24,11.06,1.1806642913818362
262,12.0,10.87,1.1275691986083984
263,11.92,10.69,1.2334422302246093
264,11.76,10.51,1.2513892745971678
265,11.64,10.34,1.2963959121704107
266,11.6,10.19,1.4054609298706051
267,11.56,10.05,1.5052753067016607
268,11.52,9.93,1.5913615417480464
269,11.48,9.82,1.6573099899291996
270,11.52,9.74,1.778515357971191
271,11.6,9.67,1.9254880905151364
272,11.64,9.62,2.0187517547607428
273,11.64,9.57,2.0684849166870123
274,11.6,9.51,2.088903999328613
275,11.64,9.45,2.1944672012329107
276,11.72,9.37,2.346684188842774
277,11.84,9.3,2.5357807540893553
278,11.88,9.24,2.6432398605346688
279,11.96,9.18,2.781120262145997
280,12.04,9.14,2.9012327575683585
281,12.12,9.11,3.006429786682128
282,12.16,9.09,3.0670043563842775
283,12.2,9.07,3.1328737258911126
284,12.28,9.04,3.238636283874511
285,12.32,9.02,3.2955134582519534
286,12.36,9.02,3.336428031921386
287,12.36,9.04,3.31779800415039
288,12.44,9.07,3.3715423965454097
289,12.48,9.1,3.3837189483642582
290,12.56,9.12,3.436914024353028
291,12.68,9.15,3.532255821228027
292,12.8,9.16,3.6380422592163093
293,12.92,9.16,3.757888717651367
294,13.0,9.14,3.860218048095703
295,13.04,9.1,3.943026580810546
296,13.04,9.04,4.000282325744628
297,13.08,8.98,4.097054557800293
298,13.12,8.93,4.187660331726073
299,13.24,8.9,4.338695755004883
300,13.24,8.89,4.351343383789063
301,13.24,8.89,4.351857414245606
302,13.2,8.9,4.299184036254882
303,13.2,8.92,4.279158782958984
304,13.16,8.95,4.210553321838379
305,13.16,8.98,4.1831895446777345
306,13.24,9.0,4.239543190002442
307,13.24,9.02,4.223103752136231
308,13.2,9.02,4.176202011108398
309,13.16,9.02,4.1438476181030275
310,13.2,8.99,4.209509086608886
311,13.28,8.95,4.325930862426757
312,13.44,8.92,4.52371353149414
313,13.4,8.88,4.523146057128907
314,13.36,8.83,4.527090415954589
315,13.28,8.8,4.481863288879394
316,13.04,8.78,4.260927238464355
317,12.8,8.79,4.014267730712891
318,12.6,8.82,3.783498382568359
319,12.4,8.87,3.5308174133300785
320,12.24,8.94,3.303661575317383
321,12.12,9.01,3.110367889404296
322,11.96,9.08,2.8819779968261727
323,11.8,9.14,2.6592691421508796
324,11.6,9.19,2.40778694152832
325,11.48,9.23,2.252521018981934
326,11.24,9.25,1.9880144500732424
327,11.12,9.27,1.8506146621704094
328,11.04,9.29,1.749871292114257
329,11.0,9.31,1.692521095275879
330,10.8,9.32,1.4764707565307624
331,10.64,9.34,1.3015571975708013
332,10.48,9.35,1.1284422683715825
333,10.32,9.37,0.9534075927734378
334,10.28,9.38,0.8969652938842767
335,10.08,9.4,0.6809340286254884
336,10.0,9.42,0.5827360153198242
337,9.8,9.44,0.3556898117065437
338,9.76,9.48,0.2821691131591795
339,9.76,9.52,0.24347187042236307
340,9.64,9.56,0.0845695877075201
341,9.6,9.59,0.014533615112304332
342,9.56,9.6,-0.043230476379394034
343,9.6,9.6,-0.0005249023437503553
344,9.68,9.57,0.10876338958740206
345,9.72,9.51,0.2065188598632819
346,9.76,9.43,0.33088375091552713
347,9.68,9.32,0.36128299713134737
348,9.68,9.19,0.49146907806396456
349,9.68,9.04,0.6375119018554685
350,9.68,8.89,0.7873894500732419
351,9.68,8.75,0.9329850006103513
352,9.6,8.62,0.9810701370239254
353,9.44,8.51,0.9289745712280268
354,9.36,8.42,0.9425042724609369
355,9.4,8.33,1.0651525497436527
356,9.4,8.26,1.1387962341308597
357,9.44,8.19,1.2485651397705073
358,9.64,8.13,1.5109650039672857
359,9.56,8.07,1.4890943145751958
360,9.6,8.02,1.5789524078369137
361,9.6,7.97,1.6278697013854977
362,9.64,7.93,1.712529792785645
363,9.64,7.88,1.7550560379028326
364,9.52,7.85,1.6748585891723629
365,9.56,7.81,1.750365314483643
366,9.6,7.77,1.8284216880798336
367,9.64,7.73,1.9081350708007818
368,9.52,7.69,1.8302459907531734
369,9.4,7.65,1.7474502563476566
370,9.36,7.62,1.736039028167724
371,9.32,7.6,1.7187884521484378
372,9.32,7.58,1.735956020355225
373,9.24,7.56,1.6751186752319338
374,9.32,7.54,1.7760570716857913
375,9.32,7.52,1.7959616851806643
376,9.48,7.5,1.9796013641357426
377,9.52,7.48,2.0369658660888668
378,9.68,7.48,2.1961128044128415
379,9.72,7.51,2.209030838012696
380,9.76,7.57,2.1926701164245603
381,9.68,7.66,2.0204583930969235
382,9.76,7.78,1.9811961746215818
383,9.64,7.92,1.7243958854675299
384,9.64,8.06,1.5828291320800787
385,9.72,8.19,1.531998367309571
386,9.68,8.3,1.375883750915527
387,9.8,8.41,1.3933980941772468
388,9.68,8.49,1.194132499694824
389,9.8,8.55,1.2549665451049812
390,9.8,8.59,1.2132318496704109
391,9.84,8.61,1.23394474029541
392,9.92,8.61,1.3099946212768554
393,10.0,8.61,1.391556739807129
394,10.08,8.6,1.482277946472168
395,10.12,8.59,1.5323516082763664
396,10.2,8.59,1.6104995727539055
397,10.28,8.6,1.680847434997558
398,10.4,8.62,1.7794937133789066
399,10.32,8.65,1.6742623519897464
400,10.28,8.66,1.6186163711547845
401,10.2,8.67,1.5315954208374016
402,10.12,8.67,1.4516287994384758
403,10.0,8.66,1.3448095321655273
404,9.92,8.63,1.2851742935180663
405,9.84,8.61,1.2280872726440428
406,9.76,8.58,1.1783225631713865
407,9.64,8.55,1.093635215759278
408,9.56,8.51,1.049838600158692
409,9.56,8.47,1.090913352966309
410,9.44,8.42,1.021910133361816
411,9.44,8.35,1.0858034515380854
412,9.28,8.27,1.0071423339843744
413,9.24,8.18,1.0561706924438479
414,9.12,8.1,1.0166016769409172
415,9.04,8.05,0.9946051025390616
416,8.92,8.01,0.9098614883422851
417,8.84,8.0,0.843599166870117
418,8.72,8.01,0.7145192337036139
419,8.68,8.04,0.6421086120605466
420,8.48,8.08,0.40008018493652386
421,8.36,8.13,0.23132072448730412
422,8.24,8.18,0.05553936004638693
423,8.12,8.24,-0.12407958984375078
424,8.04,8.3,-0.2633494949340829
425,7.92,8.36,-0.43877704620361335
426,7.84,8.41,-0.5679818725585939
427,7.8,8.45,-0.6455499649047853
428,7.84,8.47,-0.627331886291504
429,7.84,8.48,-0.6353732681274415
430,7.8,8.47,-0.6740400314331056
431,7.84,8.46,-0.6236878967285158
